pelvis_tilt_moment,pelvis_list_moment,pelvis_rotation_moment,pelvis_tx_force,pelvis_ty_force,pelvis_tz_force,hip_flexion_r_moment,hip_adduction_r_moment,hip_rotation_r_moment,hip_flexion_l_moment,hip_adduction_l_moment,hip_rotation_l_moment,lumbar_extension_moment,lumbar_bending_moment,lumbar_rotation_moment,knee_angle_r_moment,knee_angle_r_beta_force,knee_angle_l_moment,knee_angle_l_beta_force,ankle_angle_r_moment,ankle_angle_l_moment,subtalar_angle_r_moment,subtalar_angle_l_moment,mtp_angle_r_moment,mtp_angle_l_moment
0.0222337130382876,-0.0204312544524963,0.00787398941380952,0.0269937695096199,0.131775144946613,0.00852149370275311,-0.559801920727167,-1.08117083270857,0.290943131098083,0.443876928818625,-0.0133513212799164,-0.0204531988299846,0.314672273041619,-0.305953764941052,0.162287984430439,-1.27475002466159,-0.000393802783145486,-0.0545881876983572,-0.00104984284718847,-0.310396742767942,0.0161646737355768,-0.0187566871236881,-0.00427072946341757,-0.00177271096104538,-0.0015650242733109
0.0277102821512983,-0.0256272106162043,0.0109142588558346,0.0380555412736576,0.131673259667988,0.0155473198299732,-0.417513928534824,-1.20032781643303,0.331783080989825,0.337940821113408,-0.0379377463785006,-0.0104384535785406,0.339715987694199,-0.339580375931935,0.154655654687044,-1.50471801441812,-0.000331444675147892,-0.0281730797993255,-0.000992548626538662,-0.41911456860911,0.0165963319590529,-0.00907090039277497,-0.00428929952148195,-0.00159893610031437,-0.00149154942127024
0.0251540468405781,-0.0126937173019743,0.0158448347187261,0.0325706049171035,0.0659570749331476,0.0118117902719123,-0.305739229023088,-1.30310132241887,0.362765029339832,0.246203765874659,-0.0640127639152801,-9.19906169052879e-05,0.367497152754953,-0.367989807589499,0.145967662177842,-1.70328264003176,-0.000305200734009021,-0.00738321281585471,-0.000918610496406775,-0.535391420457241,0.0173155226496785,0.00134979725862619,-0.00447104938324173,-0.00142675797769787,-0.00142486330337795
0.0111304176435378,-0.000734177549023459,0.0188140299062853,0.00796364428196249,-0.00617008937422966,-0.00182789351719947,-0.230211746820691,-1.3972992887766,0.389499366288169,0.177785395419793,-0.0862514400384591,0.0090069535770109,0.396430460300502,-0.39820262082687,0.1347376399619,-1.87560735721561,-0.000310110090933816,0.00514191224816606,-0.00084457985894446,-0.656203370101976,0.0184837630384348,0.0114770490130634,-0.00473430767787573,-0.00125859049574823,-0.00137317458792005
0.00122372637674451,0.00762206934763811,0.0204569443775708,0.00287930572671364,-0.0718872849813431,-0.0156331787351852,-0.157801413591457,-1.47996189989601,0.410119655884671,0.115841291922882,-0.103899464860259,0.0164908899750202,0.424822298877001,-0.434932238456103,0.119459832792737,-2.03654553850593,-0.000328241896265029,0.0166564948796584,-0.000766303536565513,-0.77793330934804,0.0196329088836026,0.0212453646695429,-0.0048780885725985,-0.00106803714741389,-0.00132301282232019
-0.00182709061616002,0.00407505781869729,0.0229831335219817,0.0090895371702731,-0.0617918214556065,-0.0156003132256125,-0.102809429607281,-1.53978745419605,0.422561845711692,0.0786749700029936,-0.112441822043094,0.0208023521132932,0.451661457351013,-0.465647568475918,0.104642780516456,-2.13788067419428,-0.000370309246924692,0.0223547686895002,-0.000690428086305341,-0.901508805263276,0.0207218327986466,0.0308286571727109,-0.00496328333918792,-0.00088171619579019,-0.00129683545100682
-0.00470172868866073,-0.00289537898394272,0.0267491031765014,0.00544312107842814,-0.00624638800158362,-0.00815853774653885,-0.0661739549285737,-1.58122943935251,0.430764896024807,0.0612158003864536,-0.112939255759036,0.0217787065837191,0.479537713694069,-0.49198580923256,0.0896317282882709,-2.20582858017135,-0.000423762062751158,0.0224513427588064,-0.00061807385187675,-1.03010212452325,0.0220174208161671,0.0426164526254745,-0.00495373948920667,-0.000711252498677511,-0.00128784439439782
-0.00835850910380416,-0.00899215813051006,0.0299361843957829,-0.00755592300284975,0.0533739957685905,0.00188414799990694,-0.0389410038213785,-1.60688118826681,0.433633104218251,0.0546192627150216,-0.108642386233866,0.021091868409596,0.501010598536987,-0.509895269922853,0.0733923380358613,-2.23846838893861,-0.000484972318741789,0.0190098086638464,-0.000546571071232254,-1.15661898498868,0.0233615446609992,0.0548923243188126,-0.00488194576347173,-0.000566005009045693,-0.0012864300984071
-0.00695802275305055,-0.00638182695358916,0.0305014928626484,-0.0139917932337555,0.0509207725563867,0.00349359998080227,-0.0153167696905501,-1.60038459128043,0.424157462886732,0.0594057790843573,-0.0944958325121016,0.0165254582076653,0.501849993870037,-0.506378597557491,0.0550860315540082,-2.21039720218894,-0.000556446015198462,0.0121522914806414,-0.000474984422939788,-1.27036745147533,0.0245101766122968,0.0664188845368097,-0.00460818210213554,-0.000461138659050172,-0.00129604450846669
0.000672707658511265,0.00066776281077217,0.0301164749297482,-0.0106925031452195,-0.0192100248758266,-0.00317964367565401,0.0140402296144045,-1.58018948772593,0.407753909018782,0.0648962540487929,-0.0801265818597078,0.0114848912090968,0.489531783134004,-0.491837644218191,0.0382790225361138,-2.15320615399668,-0.000633047883447768,0.00552395846875884,-0.000403125327295955,-1.37847060387643,0.0253227471255662,0.0781615378526484,-0.00429458726994911,-0.000368616713478796,-0.00130925911509506
