condname,welkexo,welkexo,welkexo,welkexo,welkexo,welkexo,welkexo,welknatural,welknatural,welknatural,welknatural,welknatural,welknatural,welknatural
subjectname,welk002,welk003,welk005,welk008,welk009,welk010,welk013,welk002,welk003,welk005,welk008,welk009,welk010,welk013
Var2,,,,,,,,,,,,,,
metabolics_combined_glmax1_r_TOTAL,0.0697224882222158,0.04505286531826675,0.19212512664889325,0.05961770938161,0.2915119107868195,0.1536134713378805,0.22065099522913525,0.06597458615881735,0.0850025536792951,0.2237992993892255,0.06213544640456225,0.3831338745918715,0.224309807448675,0.3096513068765595
metabolics_combined_glmax2_r_TOTAL,0.12415735649851165,0.096132162979254,0.2784363216083823,0.10943898372833995,0.44831753643154826,0.281884164241053,0.3799854363144395,0.17182701332518252,0.160267389848323,0.37180159034599347,0.14081147479606174,0.6949925615011475,0.40146451767639074,0.3828617537051865
metabolics_combined_glmax3_r_TOTAL,0.05244936961898422,0.07290895205745145,0.05726729752532572,0.1214138077961585,0.0824064640389104,0.154491834566594,0.09354452585169402,0.10490826975250853,0.0916725747107468,0.07407136727281485,0.11669626860847432,0.14090371302512375,0.11654523285472976,0.09640297001219653
metabolics_combined_glmed1_r_TOTAL,0.5066198535107704,0.5194368648508043,0.6082267723401462,0.5784064048275562,0.386370603386362,0.7898357252335393,0.7897139790469805,0.600200697226829,0.5963599898799308,0.605960257178663,0.7092070067432847,0.4360506901778495,0.8576017426114213,0.9209870851694962
metabolics_combined_glmed2_r_TOTAL,0.24932263660697374,0.3318157351221795,0.353584952604737,0.25124041669108826,0.21284698146116,0.25497760238441647,0.4159247369735785,0.44122410331647227,0.407220196831951,0.4193863486857845,0.357665166242027,0.239512978514492,0.357005589091736,0.501677183964883
metabolics_combined_glmed3_r_TOTAL,0.07124524029953938,0.052541348857957575,0.205786427664762,0.12102778275628451,0.1971054641396365,0.181214248449198,0.2808453142697618,0.07391451170588965,0.0790275810498262,0.21464765144623024,0.11103492549284642,0.242249636486138,0.22578142975084475,0.3682920194528547
metabolics_combined_glmin1_r_TOTAL,0.04335943287069545,0.04906942564749585,0.06499281846825937,0.07382165561674617,0.017848219690973374,0.08524829373108013,0.11508214364063638,0.0797152341949443,0.06313254367946156,0.07798318100612794,0.12816931142697802,0.0311560091893937,0.15064413340858876,0.16056780226863676
metabolics_combined_glmin2_r_TOTAL,0.050298690252252025,0.07247817119635955,0.0708661280533543,0.05920809799225972,0.030905935145862824,0.05967898712293215,0.0964193679034674,0.10551676435059625,0.09029422773744006,0.0915481354422385,0.09781670188720262,0.04844040889920745,0.09985643868568089,0.1392477099422125
metabolics_combined_glmin3_r_TOTAL,0.013500396579367725,0.032878033107114804,0.03291159944403825,0.023994396109263776,0.022939886716459724,0.03452032777382837,0.03520416504495455,0.052368905179100075,0.043446746717913175,0.04079567281455535,0.03455560888032257,0.02820840063067565,0.030372100906314925,0.04830738390515175
metabolics_combined_grac_r_TOTAL,0.011767991159104275,0.011474765510506524,0.013204271089210375,0.019018364970538125,0.02265345545647955,0.011496036051429251,0.018209998511387025,0.013803084889813076,0.008733602821475325,0.029297578422048425,0.01951636065524925,0.0109812194903703,0.006488677712447975,0.0193390162386489
metabolics_combined_iliacus_r_TOTAL,0.04304314642470735,0.03981271459022215,0.031215453618123702,0.0462236607138014,0.019695200349552577,0.01997686708117445,0.03421538973188765,0.06652166981347149,0.01904596160691375,0.0307740367255914,0.03805893712002757,0.011307636018182575,0.04896808455041578,0.008848837052180675
metabolics_combined_perbrev_r_TOTAL,0.0100501874252731,0.014702557924745424,0.05301992875287963,0.0715150800157547,0.04729324862044028,0.046965468163647876,0.0409552769217768,0.011099426456107099,0.0125778995712027,0.0742842243151128,0.037572395529544174,0.0220459983497137,0.06423794001429325,0.0770663949824386
metabolics_combined_perlong_r_TOTAL,0.030018262900046853,0.047790306538037876,0.1727828945481255,0.22993117709220223,0.16184628301918247,0.20264078521759923,0.1559239612011905,0.0288536212136896,0.044030116953969974,0.21739816243743498,0.15226065744610576,0.107949918017319,0.19393894036187675,0.27707854623212974
metabolics_combined_piri_r_TOTAL,0.021382918594834776,0.0270232323049204,0.04686333234749085,0.04556204664243395,0.0589597873191331,0.06214070769306052,0.0471839515844526,0.01730418577169645,0.01956629079994495,0.0372508411491237,0.025749198400200526,0.04709560373602097,0.07154586032192048,0.031449820900164405
metabolics_combined_psoas_r_TOTAL,0.059430574421295575,0.06126729005172435,0.07989357900435257,0.0607449333190451,0.05643612556465415,0.04662166834305038,0.09578612334683931,0.07706060617063618,0.047942444397296724,0.07537200545340783,0.0579912660985362,0.02174029710532565,0.0341113239734927,0.06687884671645977
metabolics_combined_recfem_r_TOTAL,0.0742338833556495,0.057747965574602024,0.12255660580667135,0.21889480219110274,0.075089940138625,0.21960903222807376,0.19900718151930125,0.0250653495013236,0.17433024283290025,0.1789346352618575,0.16085916587158325,0.15534779037613075,0.3011238223232845,0.34511485243281625
