Var2,condname,subjectname,metabolics_stance_avg
metabolics_combined_glmin2_r_TOTAL,welkexo,welk002,0.050298690252252025
metabolics_combined_glmin2_r_TOTAL,welkexo,welk003,0.07247817119635955
metabolics_combined_glmin2_r_TOTAL,welkexo,welk005,0.0708661280533543
metabolics_combined_glmin2_r_TOTAL,welkexo,welk008,0.05920809799225972
metabolics_combined_glmin2_r_TOTAL,welkexo,welk009,0.030905935145862824
metabolics_combined_glmin2_r_TOTAL,welkexo,welk010,0.05967898712293215
metabolics_combined_glmin2_r_TOTAL,welkexo,welk013,0.0964193679034674
metabolics_combined_glmin2_r_TOTAL,welknatural,welk002,0.10551676435059625
metabolics_combined_glmin2_r_TOTAL,welknatural,welk003,0.09029422773744006
metabolics_combined_glmin2_r_TOTAL,welknatural,welk005,0.0915481354422385
metabolics_combined_glmin2_r_TOTAL,welknatural,welk008,0.09781670188720262
metabolics_combined_glmin2_r_TOTAL,welknatural,welk009,0.04844040889920745
metabolics_combined_glmin2_r_TOTAL,welknatural,welk010,0.09985643868568089
metabolics_combined_glmin2_r_TOTAL,welknatural,welk013,0.1392477099422125
metabolics_combined_glmin3_r_TOTAL,welkexo,welk002,0.013500396579367725
metabolics_combined_glmin3_r_TOTAL,welkexo,welk003,0.032878033107114804
metabolics_combined_glmin3_r_TOTAL,welkexo,welk005,0.03291159944403825
metabolics_combined_glmin3_r_TOTAL,welkexo,welk008,0.023994396109263776
metabolics_combined_glmin3_r_TOTAL,welkexo,welk009,0.022939886716459724
metabolics_combined_glmin3_r_TOTAL,welkexo,welk010,0.03452032777382837
metabolics_combined_glmin3_r_TOTAL,welkexo,welk013,0.03520416504495455
metabolics_combined_glmin3_r_TOTAL,welknatural,welk002,0.052368905179100075
metabolics_combined_glmin3_r_TOTAL,welknatural,welk003,0.043446746717913175
metabolics_combined_glmin3_r_TOTAL,welknatural,welk005,0.04079567281455535
metabolics_combined_glmin3_r_TOTAL,welknatural,welk008,0.03455560888032257
metabolics_combined_glmin3_r_TOTAL,welknatural,welk009,0.02820840063067565
metabolics_combined_glmin3_r_TOTAL,welknatural,welk010,0.030372100906314925
metabolics_combined_glmin3_r_TOTAL,welknatural,welk013,0.04830738390515175
metabolics_combined_grac_r_TOTAL,welkexo,welk002,0.011767991159104275
metabolics_combined_grac_r_TOTAL,welkexo,welk003,0.011474765510506524
metabolics_combined_grac_r_TOTAL,welkexo,welk005,0.013204271089210375
metabolics_combined_grac_r_TOTAL,welkexo,welk008,0.019018364970538125
metabolics_combined_grac_r_TOTAL,welkexo,welk009,0.02265345545647955
metabolics_combined_grac_r_TOTAL,welkexo,welk010,0.011496036051429251
metabolics_combined_grac_r_TOTAL,welkexo,welk013,0.018209998511387025
metabolics_combined_grac_r_TOTAL,welknatural,welk002,0.013803084889813076
metabolics_combined_grac_r_TOTAL,welknatural,welk003,0.008733602821475325
metabolics_combined_grac_r_TOTAL,welknatural,welk005,0.029297578422048425
metabolics_combined_grac_r_TOTAL,welknatural,welk008,0.01951636065524925
metabolics_combined_grac_r_TOTAL,welknatural,welk009,0.0109812194903703
metabolics_combined_grac_r_TOTAL,welknatural,welk010,0.006488677712447975
metabolics_combined_grac_r_TOTAL,welknatural,welk013,0.0193390162386489
metabolics_combined_iliacus_r_TOTAL,welkexo,welk002,0.04304314642470735
metabolics_combined_iliacus_r_TOTAL,welkexo,welk003,0.03981271459022215
metabolics_combined_iliacus_r_TOTAL,welkexo,welk005,0.031215453618123702
metabolics_combined_iliacus_r_TOTAL,welkexo,welk008,0.0462236607138014
metabolics_combined_iliacus_r_TOTAL,welkexo,welk009,0.019695200349552577
metabolics_combined_iliacus_r_TOTAL,welkexo,welk010,0.01997686708117445
metabolics_combined_iliacus_r_TOTAL,welkexo,welk013,0.03421538973188765
