metabolics_all_avg,subjectname,condname,experimentname,trialname
10.58025995,welk001,welkexoexo,welker,trial03
10.58025995,welk001,welkexoexo,welker,trial04
8.628478889,welk002,welkexoexo,welker,trial01
8.628478889,welk002,welkexoexo,welker,trial02
8.628478889,welk002,welkexoexo,welker,trial03
8.628478889,welk002,welkexoexo,welker,trial04
9.325417291,welk003,welkexoexo,welker,trial01
9.325417291,welk003,welkexoexo,welker,trial02
9.325417291,welk003,welkexoexo,welker,trial03
9.325417291,welk003,welkexoexo,welker,trial04
8.738991829,welk004,welkexoexo,welker,trial01
8.738991829,welk004,welkexoexo,welker,trial02
8.738991829,welk004,welkexoexo,welker,trial03
8.738991829,welk004,welkexoexo,welker,trial04
10.64128767,welk001,welkexofast,welker,trial01
10.64128767,welk001,welkexofast,welker,trial02
10.64128767,welk001,welkexofast,welker,trial03
10.64128767,welk001,welkexofast,welker,trial04
8.720893899,welk002,welkexofast,welker,trial01
8.720893899,welk002,welkexofast,welker,trial02
8.720893899,welk002,welkexofast,welker,trial03
8.720893899,welk002,welkexofast,welker,trial04
8.950706881,welk003,welkexofast,welker,trial01
8.950706881,welk003,welkexofast,welker,trial02
8.950706881,welk003,welkexofast,welker,trial03
8.950706881,welk003,welkexofast,welker,trial04
8.724305289,welk004,welkexofast,welker,trial01
8.724305289,welk004,welkexofast,welker,trial02
8.724305289,welk004,welkexofast,welker,trial03
8.724305289,welk004,welkexofast,welker,trial04
2.44141,jack001,jackpower1,jackson,trial01
2.635477,jack002,jackpower1,jackson,trial01
2.971947,jack003,jackpower1,jackson,trial01
2.310198,jack004,jackpower1,jackson,trial01
2.495017,jack005,jackpower1,jackson,trial01
2.661733,jack006,jackpower1,jackson,trial01
2.304545,jack007,jackpower1,jackson,trial01
2.226648,jack008,jackpower1,jackson,trial01
3.511163,jack001,jackpower2,jackson,trial01
3.456387,jack002,jackpower2,jackson,trial01
3.441066,jack003,jackpower2,jackson,trial01
3.728204,jack004,jackpower2,jackson,trial01
3.56208,jack005,jackpower2,jackson,trial01
3.317417,jack006,jackpower2,jackson,trial01
2.983309,jack007,jackpower2,jackson,trial01
