condname,welkexo,welkexo,welkexo,welkexo,welkexo,welkexo,welkexo,welknatural,welknatural,welknatural,welknatural,welknatural,welknatural,welknatural
subjectname,welk002,welk003,welk005,welk008,welk009,welk010,welk013,welk002,welk003,welk005,welk008,welk009,welk010,welk013
Var2,,,,,,,,,,,,,,
metabolics_combined_glmax1_r_TOTAL,0.015184269573063625,0.015480390661034675,0.011233219358629474,0.016681447692646675,0.012799568407496426,0.011381536573553175,0.0142281852724277,0.017399733904571977,0.01120114640635945,0.01724168289334715,0.025964719486333925,0.011286509923164226,0.0116016185027801,0.018030618765150424
metabolics_combined_glmax2_r_TOTAL,0.021401702462691352,0.0354158726360291,0.016688155333779375,0.0314515427230082,0.01416913353404345,0.014969872242408875,0.030297018666385025,0.0161860905542173,0.026516183894678948,0.022925064137430298,0.031890034473441374,0.01412402428548465,0.01946418530405405,0.034612449237627796
metabolics_combined_glmax3_r_TOTAL,0.014622833685854925,0.020918416594806373,0.015192791381849475,0.017435520144123598,0.012724076341960124,0.013867901333007025,0.034325679076917325,0.01730231464926605,0.024763913586185075,0.0263278066485365,0.022985982747791026,0.04931335572210882,0.014569357770270299,0.05529967449518385
metabolics_combined_glmed1_r_TOTAL,0.025605597209336174,0.0228316093936555,0.0379938503445254,0.0332430176604206,0.016116329115639677,0.019273873761848824,0.0222307286301496,0.04134842678348062,0.025548334571933277,0.036259084385510426,0.0331583380294614,0.009633841168656326,0.0463602971398156,0.014355503788526701
metabolics_combined_glmed2_r_TOTAL,0.006446031661993599,0.007015132564467425,0.0077188398543379996,0.0049033107369158,0.009728534843626175,0.0049612806764903,0.0031834134829342503,0.01879330109029175,0.005597710535535925,0.013192966715444676,0.0156841599929367,0.0055078605004291,0.010519570141821475,0.0054101682897931
metabolics_combined_glmed3_r_TOTAL,0.008917766138730425,0.0060767441343985255,0.00907338027573415,0.007535791800461825,0.019092332325995175,0.013377911217322375,0.005209121101604,0.036108037387197624,0.004967591868892601,0.0173001085675835,0.028546945159079126,0.0181091184966195,0.01412052299232825,0.011742380109546325
metabolics_combined_glmin1_r_TOTAL,0.021768937120530674,0.02343688159775245,0.021355934592124974,0.022031587824295925,0.01843487186275235,0.01212992184059205,0.01806276625790285,0.0232644579808424,0.022911656896241524,0.027773427437798,0.019137083074454726,0.011707280866333426,0.020606739117926525,0.011449393327328274
metabolics_combined_glmin2_r_TOTAL,0.01419916254620155,0.01497480686390465,0.02029713680813965,0.011629734410765074,0.016489687713540223,0.005554661755195975,0.019441523920782224,0.017463595216095723,0.015654163276379526,0.029072264541103825,0.021340393841684926,0.01253638907853685,0.010906709850084425,0.022287291944253523
metabolics_combined_glmin3_r_TOTAL,0.0053828402416795755,0.004439377432104525,0.009632765623831875,0.00446937914780035,0.009962016602789024,0.0008803473524935,0.0088087907578204,0.007677934824092399,0.0043311367653908,0.016218706430987474,0.01332536042630625,0.009790344181516926,0.006877719142384525,0.010239564571649526
metabolics_combined_grac_r_TOTAL,0.07816766821368928,0.09053553063930248,0.074363159398517,0.08558439147833527,0.07587619499359978,0.12066745494778075,0.10062060801380172,0.10286756191036431,0.1106009792481765,0.0968958881351007,0.14874011857171976,0.12566233434485702,0.1434122602803,0.16332243625849802
metabolics_combined_iliacus_r_TOTAL,0.403917935479971,0.48630221231085924,0.419765005657066,0.33155931557047646,0.412530988620055,0.2529913996477807,0.41710899286491826,0.3975125246885112,0.48860412593624103,0.4708114999894745,0.3271856830069735,0.34908556899925924,0.29520201024070947,0.43475197296815626
metabolics_combined_perbrev_r_TOTAL,0.00766057279638335,0.007354192562896451,0.0083079126201103,0.01193420547118135,0.011319289337392275,0.008027623273771024,0.0101572678733653,0.0076205486427896,0.0062089435050191,0.007982429990796226,0.0072200829419642,0.008066552290640475,0.008929670192849074,0.00912293413580975
metabolics_combined_perlong_r_TOTAL,0.02673080060247815,0.023097932898744275,0.027636277016197024,0.029914001288968373,0.0344138333264163,0.0247905972786884,0.03300585239605368,0.0254506122683024,0.018613279243183775,0.024339672330638926,0.021943058374049973,0.023890495748142674,0.021224850415259,0.0225924598639265
metabolics_combined_piri_r_TOTAL,0.0070160093771991,0.00437545750357995,0.0078160622780807,0.005375312299014825,0.026612142141477276,0.028641137398818076,0.013602411912915975,0.02914927849483835,0.003705895145867725,0.02085639092785715,0.02711262330843895,0.0438345776148298,0.019923934248310776,0.02062545958472595
metabolics_combined_psoas_r_TOTAL,0.6351471359505515,0.7332189947405615,0.606026940017973,0.38538449605881425,0.709749125827032,0.5628918933389937,0.8691448861758387,0.6849715472151425,0.7378036852770787,0.740053243720721,0.5594070525368153,0.8267636849638765,0.6374361209177926,0.956868198354382
metabolics_combined_recfem_r_TOTAL,0.13055577978781424,0.0638932145547672,0.19398042790395825,0.171576468634476,0.34156783538477925,0.303524816894053,0.3412212083984373,0.1491828692077725,0.07713057503866555,0.2550327487315772,0.16088275303298488,0.439478507854152,0.27252143818271374,0.32922262042932304
metabolics_combined_sart_r_TOTAL,0.172260689438586,0.23785961732712174,0.24160931829889926,0.1723445878399125,0.2970831290725935,0.190258849392423,0.27820788905613575,0.1802987813315285,0.23725958169674174,0.3114827129562195,0.25302222575012323,0.3944913400457385,0.21419240134959175,0.3314848174842653
metabolics_combined_semimem_r_TOTAL,0.08352013228974464,0.08382805573583416,0.1001474022506255,0.13575137119946,0.0692461488941697,0.21731867131251575,0.07690792087344737,0.07108364721733727,0.07178378808594645,0.13733414534918054,0.11811177464327935,0.08620191360319587,0.1508776456969665,0.09161132794131616
metabolics_combined_semiten_r_TOTAL,0.03821641716955537,0.051232770592095175,0.05177522039282347,0.177294424748536,0.042844901539553296,0.17474737622134373,0.05086735564882405,0.046269445043260596,0.08398839778622655,0.06956537370164005,0.15146645887144625,0.03862867995522533,0.14522975153610623,0.06286947015823062
metabolics_combined_soleus_r_TOTAL,0.027620596658056926,0.01983413802469585,0.022322018995291574,0.02035425290146815,0.029045474158543326,0.0271410559541506,0.021958934253161526,0.02595980592401225,0.016463382486452724,0.02243892677279985,0.018689174170187277,0.023741934648026423,0.015729951395340648,0.014547628286744024
metabolics_combined_tfl_r_TOTAL,0.0411134618381195,0.0658146961805106,0.06837888663464642,0.054068466800099524,0.06735322997066567,0.0293328799601595,0.04452194047613942,0.05115748776792602,0.05413055618838322,0.07540154162552813,0.0433598394167038,0.045759269689292226,0.02513542354923285,0.04972060073661067
metabolics_combined_tibant_r_TOTAL,0.40975211700715025,0.49388438449172,0.28629456984371426,0.4408531181803705,0.5137745861698503,0.31165397153820573,0.5379003756488165,0.319341733263739,0.40502631649721876,0.28884174479789476,0.3607225101971603,0.3954772060883595,0.41928772368120076,0.387854579203306
metabolics_combined_tibpost_r_TOTAL,0.0066119126664601,0.00518278521406055,0.005549369595241,0.00681806474379685,0.006900883661711975,0.006836802647892225,0.005810294334482725,0.005929809454153425,0.00510308780331955,0.00638911045899305,0.0057823562845400744,0.010434520054568651,0.005896946558276975,0.00770745857519845
metabolics_combined_vasint_r_TOTAL,0.02671582887810025,0.025539742173087,0.030096920382126673,0.04812557893968397,0.02621700324322345,0.021362051761112,0.0278693142514436,0.02383750052148465,0.02279368961370875,0.03788964819029567,0.0339278441424289,0.019306304242223626,0.02008326288798565,0.0241025283174363
metabolics_combined_vaslat_r_TOTAL,0.07925428447808038,0.08993481633072155,0.12350027971738164,0.185420805923743,0.0776276518204751,0.06643318130545967,0.11552582987103745,0.06889261415897954,0.10535990362268514,0.2720903320178313,0.3767623916539262,0.0804209168249428,0.06112551685142174,0.08324777288372405
metabolics_combined_vasmed_r_TOTAL,0.04462109107351445,0.04100294936152325,0.045456037775143524,0.08442338769569513,0.03813832054759678,0.0328244106477217,0.04555135946977237,0.036519297321838874,0.037095913700855146,0.0610378099354347,0.11431269083138403,0.03356354910861392,0.030716272082629524,0.04265964337991275
